Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,ECR error ,Gate time (ns)
107,215.0742713196514,120.76474552434311,4.985899715155534,-0.307441695251335,0.008000000000000007,0.009199999999999986,0.0068,1244.4444444444443,0.0002895399113090994,0.0002895399113090994,0.0002895399113090994,107_106:0.008771053250117733; 107_108:0.006234691433090356,107_106:533.3333333333333; 107_108:533.3333333333333
108,235.0382101424862,160.54729006126593,4.857635696750591,-0.3093687563471741,0.008899999999999908,0.009399999999999964,0.0084,1244.4444444444443,0.00022352195543428729,0.00022352195543428729,0.00022352195543428729,undefined,undefined
109,274.4881099340083,328.94766105184334,4.794001837764832,-0.3098231211288872,0.026799999999999935,0.029200000000000004,0.0244,1244.4444444444443,0.0006002430356034973,0.0006002430356034973,0.0006002430356034973,109_96:0.009090755453035115,109_96:533.3333333333333
110,122.60073322018046,191.90171732891045,4.834543325555616,-0.30953885962680133,0.008599999999999941,0.012199999999999989,0.005,1244.4444444444443,0.0002670002635880687,0.0002670002635880687,0.0002670002635880687,110_118:0.004230761976290354; 110_100:0.0044753534399941675,110_118:533.3333333333333; 110_100:533.3333333333333
111,175.54094107984065,237.66760690724735,4.899680655810827,-0.30966196143120256,0.0035000000000000586,0.0054,0.0016000000000000458,1244.4444444444443,0.00019228537712368232,0.00019228537712368232,0.00019228537712368232,111_104:0.0103669074361471,111_104:533.3333333333333
112,379.0198959734319,42.31647698351982,4.9311911928236345,-0.30828010772706876,0.008399999999999963,0.007600000000000051,0.0092,1244.4444444444443,0.00011678921449586078,0.00011678921449586078,0.00011678921449586078,112_126:0.007000757732776003; 112_108:0.004894074864661119,112_126:533.3333333333333; 112_108:533.3333333333333
113,165.02779526414648,47.752921999023265,4.963717319550011,-0.3084394283671576,0.0036000000000000476,0.0040000000000000036,0.0032,1244.4444444444443,0.0005489192214305448,0.0005489192214305448,0.0005489192214305448,113_114:0.014539361112783589,113_114:533.3333333333333
114,357.22385779448393,396.09623574248275,4.8845270930534985,-0.30934321871293896,0.011199999999999988,0.012199999999999989,0.0102,1244.4444444444443,0.00011800775436512685,0.00011800775436512685,0.00011800775436512685,114_115:0.00821605507387424; 114_109:0.007833535687980203,114_115:533.3333333333333; 114_109:533.3333333333333
115,397.29709781202945,266.64097361474313,4.742928829293489,-0.3109775593036345,0.006699999999999928,0.01100000000000001,0.0024,1244.4444444444443,0.0001366820215119812,0.0001366820215119812,0.0001366820215119812,undefined,undefined
116,79.59574089772396,117.48332490782622,4.931329484411749,-0.30852099993985993,0.00990000000000002,0.01319999999999999,0.0066,1244.4444444444443,0.00033696392430651383,0.00033696392430651383,0.00033696392430651383,116_115:0.007370367046003051,116_115:533.3333333333333
117,300.9223262725985,186.3488573039287,4.793037852672333,-0.3108430479754478,0.00660000000000005,0.00660000000000005,0.0066,1244.4444444444443,0.0005124645550350007,0.0005124645550350007,0.0005124645550350007,117_116:0.008962771191862118; 117_118:0.006878312966365707,117_116:533.3333333333333; 117_118:533.3333333333333
118,284.0976999238717,247.53384475344356,4.737471672209138,-0.31213784976055814,0.00990000000000002,0.016000000000000014,0.0038,1244.4444444444443,0.00014393498614913012,0.00014393498614913012,0.00014393498614913012,undefined,undefined
119,309.1675543339069,120.64795135042372,4.792824933832228,-0.3115006149023877,0.00550000000000006,0.006199999999999983,0.0048,1244.4444444444443,0.0007618761748728284,0.0007618761748728284,0.0007618761748728284,119_118:0.006491522709888786; 119_120:0.006313486490334919,119_118:533.3333333333333; 119_120:533.3333333333333
120,277.14801412799966,262.0947647684681,4.887781512279978,-0.30954720593807233,0.006900000000000017,0.007,0.006800000000000028,1244.4444444444443,0.0001553581835580587,0.0001553581835580587,0.0001553581835580587,120_121:0.005655282049422977,120_121:533.3333333333333
121,332.7580589707505,36.223615066252336,4.847706738026736,-0.31085098125216193,0.0040000000000000036,0.0033999999999999586,0.0046,1244.4444444444443,0.00019841438073114326,0.00019841438073114326,0.00019841438073114326,121_122:0.008202251811133404,121_122:533.3333333333333
122,230.11596385539818,191.86435068150007,4.73153207574148,-0.31159801750313826,0.006800000000000028,0.008,0.005600000000000049,1244.4444444444443,0.0003169826448976089,0.0003169826448976089,0.0003169826448976089,122_111:0.009772956463400234,122_111:533.3333333333333
123,312.371462077827,272.9724908125519,4.820626461135218,-0.310311785682582,0.005199999999999982,0.0072,0.0031999999999999806,1244.4444444444443,0.00022840801511727783,0.00022840801511727783,0.00022840801511727783,123_122:0.006282666395545311,123_122:533.3333333333333
124,260.8514077241127,189.61942848320479,4.8813603304159585,-0.3092081732598848,0.0033000000000000806,0.0040000000000000036,0.0026,1244.4444444444443,0.000163068371821725,0.000163068371821725,0.000163068371821725,124_123:0.007838769010257401,124_123:533.3333333333333
125,211.48646921757583,60.11106055381573,4.977348591456907,-0.30775761323383166,0.009299999999999975,0.014599999999999946,0.004,1244.4444444444443,0.0009425337918669141,0.0009425337918669141,0.0009425337918669141,125_124:0.00861493767094984,125_124:533.3333333333333
126,244.0211465449952,76.98998598060084,4.831238726567614,-0.3093005432479466,0.0041999999999999815,0.0031999999999999806,0.0052,1244.4444444444443,0.00023093960210197027,0.00023093960210197027,0.00023093960210197027,126_125:0.007015070565186743,126_125:533.3333333333333
